Time zone ID,Raw offset (Hours : Minutes),DST offset (Minutes),Display name
Etc/GMT-12,12 : 00,,GMT+12:00
Kwajalein,12 : 00,,Marshall Islands Time
NST,12 : 00,60,New Zealand Standard Time
NZ,12 : 00,60,New Zealand Standard Time
Pacific/Auckland,12 : 00,60,New Zealand Standard Time
Pacific/Fiji,12 : 00,,Fiji Time
Pacific/Funafuti,12 : 00,,Tuvalu Time
Pacific/Kwajalein,12 : 00,,Marshall Islands Time
Pacific/Majuro,12 : 00,,Marshall Islands Time
Pacific/Nauru,12 : 00,,Nauru Time
Pacific/Tarawa,12 : 00,,Gilbert Is. Time
Pacific/Wake,12 : 00,,Wake Time
Pacific/Wallis,12 : 00,,Wallis & Futuna Time
NZ-CHAT,12 : 45,60,Chatham Standard Time
Pacific/Chatham,12 : 45,60,Chatham Standard Time
Etc/GMT-13,13 : 00,,GMT+13:00
Pacific/Enderbury,13 : 00,,Phoenix Is. Time
Pacific/Tongatapu,13 : 00,,Tonga Time
Etc/GMT-14,14 : 00,,GMT+14:00
Pacific/Kiritimati,14 : 00,,Line Is. Time
